facilities,address,lat,lon,fac_type
國立政治大學,[116]臺北市文山區指南路二段64號,24.986835,121.57624,學校
國立臺灣大學,[106]臺北市大安區羅斯福路四段1號,25.016832,121.534714,學校
國立臺灣師範大學,[106]臺北市大安區和平東路一段162號,25.025957,121.527535,學校
國立臺北大學,[237]新北市三峽區大學路151號,24.944342,121.372753,學校
國立臺灣科技大學,[106]臺北市大安區基隆路四段43號,25.013237,121.541083,學校
國立臺北科技大學,[106]臺北市大安區忠孝東路三段1號,25.042636,121.535955,學校
國立臺北藝術大學,[112]臺北市北投區學園路1號,25.132181,121.470133,學校
國立臺灣藝術大學,[220]新北市板橋區大觀路一段59號,25.006115,121.447924,學校
國立臺北教育大學,[106]臺北市大安區和平東路二段134號,25.024158,121.544924,學校
國立臺北護理健康大學,[112]臺北市北投區明德路365號,25.117509,121.520649,學校
國立臺北商業大學,[100]臺北市中正區濟南路一段321號,25.041947,121.525532,學校
國立臺灣戲曲學院,[114]臺北市內湖區內湖路二段177號,25.081298,121.58672,學校
輔仁大學,[242]新北市新莊區中正路510號,25.033274,121.434694,學校
東吳大學,[111]臺北市士林區臨溪路70號,25.094673,121.545645,學校
淡江大學,[251]新北市淡水區英專路151號,25.173841,121.447112,學校
中國文化大學,[111]臺北市士林區華岡路55號,25.137008,121.540279,學校
華梵大學,[223]新北市石碇區華梵路1號,24.98002,121.692106,學校
世新大學,[116]臺北市文山區木柵路一段17巷1號,24.989051,121.544846,學校
銘傳大學,[111]臺北市士林區中山北路五段250號,25.086095,121.527579,學校
實踐大學,[104]臺北市中山區大直街70號,25.083664,121.546105,學校
真理大學,[251]新北市淡水區真理街32號,25.176823,121.435003,學校
大同大學,[104]臺北市中山區中山北路三段40號,25.067052,121.521934,學校
臺北醫學大學,[110]臺北市信義區吳興街250號,25.025405,121.561982,學校
明志科技大學,[243]新北市泰山區貴子里工專路84號,25.041619,121.421304,學校
聖約翰科技大學,[251]新北市淡水區淡金路四段499號,25.227351,121.45101,學校
中國科技大學,[116]臺北市文山區興隆路三段56號,24.999007,121.555006,學校
景文科技大學,[231]新北市新店區安忠路99號,24.95178,121.509305,學校
東南科技大學,[222]新北市深坑區北深路三段152號,25.004432,121.604745,學校
德明財經科技大學,[114]臺北市內湖區環山路一段56號,25.086609,121.565207,學校
中華科技大學,[115]臺北市南港區研究院路三段245號,25.03279,121.610226,學校
臺北城市科技大學,[112]臺北市北投區學園路2號,25.133355,121.469137,學校
醒吾科技大學,[244]新北市林口區粉寮路一段101號,25.080808,121.396394,學校
華夏科技大學,[235]新北市中和區工專路111號,24.980905,121.507678,學校
致理科技大學,[220]新北市板橋區文化路一段313號,25.020898,121.464405,學校
康寧大學,[114]臺北市內湖區康寧路三段75巷137號,25.075398,121.60964,學校
宏國德霖科技大學,[236]新北市土城區青雲路380巷1號,24.973439,121.45695,學校
台北海洋科技大學,[251]新北市淡水區濱海路三段150號,25.191353,121.427258,學校
亞東科技大學,[220]新北市板橋區四川路二段58號,24.995115,121.452745,學校
黎明技術學院,[243]新北市泰山區泰林路三段22號,25.066086,121.420117,學校
馬偕醫學院,[252]新北市三芝區中正路三段46號,25.252917,121.496695,學校
法鼓文理學院,[208]新北市金山區西湖里法鼓路700號,25.245423,121.61652,學校
馬偕醫護管理專科學校,[112]臺北市北投區聖景路92號,25.121879,121.46458,學校
耕莘健康管理專科學校,[231]新北市新店區民族路112號,24.977048,121.536648,學校
臺北市立大學,[100]臺北市中正區愛國西路1號,25.036076,121.513669,學校
基督教台灣浸會神學院,[110]臺北市信義區吳興街394巷1號,25.023864,121.566962,學校
臺北基督學院,[251]新北市淡水區自強路51號,25.131283,121.461543,學校
台灣神學研究學院,[111]臺北市士林區仰德大道二段二巷20號,25.10105,121.5414,學校
國立空中大學,[247]新北市蘆洲區中正路172號,25.087135,121.468473,學校
國立臺北科技大學附設進修學院,[106]臺北市大安區忠孝東路三段1號,25.042499,121.534985,學校
國立臺北商業大學附設空中進修學院,[100]臺北市中正區濟南路一段321號,25.042053,121.525546,學校
國立華僑高級中等學校,[220]新北市板橋區大觀路一段32號,25.007643,121.446123,學校
私立淡江高中,[251]新北市淡水區真理街26號,25.17506,121.435831,學校
私立康橋高中,[231]新北市新店區華城路800號,24.911536,121.496625,學校
私立金陵女中,[241]新北市三重區重新路五段656號,25.042908,121.467198,學校
新北市裕德高級中等學校,[236]新北市土城區擺接堡路1號,24.983101,121.439939,學校
財團法人南山高中,[235]新北市中和區廣福路41號,25.001706,121.503754,學校
財團法人恆毅高中,[242]新北市新莊區中正路108號,25.037049,121.453817,學校
私立聖心女中,[249]新北市八里區龍米路一段263號,25.134884,121.44946,學校
私立崇義高中,[221]新北市汐止區大同路三段68號,25.07683,121.669034,學校
新北市福瑞斯特高中,[236]新北市土城區城林路2號,24.975697,121.437466,學校
私立東海高中,[241]新北市三重區忠孝路三段93巷12號,25.064737,121.478635,學校
私立格致高中,[241]新北市三重區大智街260號,25.073638,121.488764,學校
私立醒吾高中,[244]新北市林口區粉寮路一段75巷80號,25.079765,121.395822,學校
私立徐匯高中,[247]新北市蘆洲區中山一路1號,25.080024,121.479583,學校
新北市崇光高中,[231]新北市新店區三民路18號,24.971565,121.538933,學校
私立光仁高中,[220]新北市板橋區中山路二段255巷18號,25.0188,121.475891,學校
私立竹林高中,[235]新北市中和區華新街143巷12號,24.980229,121.505351,學校
私立中信高中,[231]新北市新店區安興路1號,24.966796,121.514985,學校
財團法人辭修高中,[237]新北市三峽區溪東路251號,24.932632,121.408482,學校
新北市林口康橋國際高中,[244]新北市林口區興林路55號,25.074625,121.389882,學校
私立時雨高中,[224]新北市瑞芳區銅山里祈堂路217號,25.109706,121.855285,學校
私立樹人家商,[238]新北市樹林區大安路216號,24.995045,121.419036,學校
私立復興商工,[234]新北市永和區秀朗路一段201號,25.003448,121.51846,學校
私立南強工商,[231]新北市新店區文化路42號,24.980716,121.545574,學校
私立穀保家商,[241]新北市三重區中正北路560巷38號,25.06919,121.47174,學校
私立智光商工,[234]新北市永和區中正路100號,24.99446,121.51436,學校
私立能仁家商,[231]新北市新店區文中路53巷10號,24.958389,121.540932,學校
私立豫章工商,[220]新北市板橋區四川路一段391號,24.997153,121.459061,學校
私立莊敬工家,[231]新北市新店區民生路45號,24.985754,121.532237,學校
私立中華商海,[207]新北市萬里區瑪鋉路15號,25.178032,121.684836,學校
私立光華高商進修學校,[220]新北市板橋區南雅南路二段1號,25.003128,121.454694,學校
市立泰山高中,[243]新北市泰山區辭修路7號,25.056701,121.429409,學校
市立板橋高中,[220]新北市板橋區文化路一段25號,25.012194,121.458414,學校
市立新店高中,[231]新北市新店區中央路93號,24.975455,121.532033,學校
市立中和高中,[235]新北市中和區連城路460號,24.993971,121.478344,學校
市立新莊高中,[242]新北市新莊區中平路135號,25.04865,121.443621,學校
市立新北高中,[241]新北市三重區三信路1號,25.086723,121.489918,學校
市立林口高中,[244]新北市林口區仁愛路二段173號,25.073273,121.380295,學校
市立瑞芳高工,[224]新北市瑞芳區瑞芳街60號,25.111122,121.8036,學校
市立三重商工,[241]新北市三重區中正北路163號,25.069917,121.481557,學校
市立新北高工,[236]新北市土城區學府路一段241號,24.982677,121.450198,學校
市立淡水商工,[251]新北市淡水區商工路307號,25.187416,121.454282,學校
市立海山高中,[220]新北市板橋區漢生東路215號,25.009524,121.471621,學校
市立三重高中,[241]新北市三重區集美街212號,25.054689,121.491438,學校
市立永平高中,[234]新北市永和區永平路205號,25.010504,121.508441,學校
市立樹林高中,[238]新北市樹林區中華路8號,24.983886,121.422063,學校
